what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095474
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095474
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095474
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095475
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095475
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095475
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095476
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095476
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095476
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095476
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095476
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095477
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095477
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095477
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095477
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095478
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095478
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095478
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095478
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095478
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095479
error,log,,,"Unhandled event loop exception",1362663095492
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095784
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095784
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095784
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095784
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095784
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095785
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095785
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095785
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095785
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095786
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095786
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095786
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095786
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095786
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095787
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095787
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095787
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095788
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095788
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095788
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095788
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095789
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095789
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095789
error,log,,,"Unhandled event loop exception",1362663095802
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095857
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095857
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095857
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095858
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095858
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095858
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095859
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095859
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095859
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095859
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095859
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095860
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095860
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095860
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095860
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095861
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095861
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095861
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095861
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095861
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095862
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663095862
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095862
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663095862
error,log,,,"Unhandled event loop exception",1362663095876
error,log,,,"Unhandled event loop exception",1362663095938
