what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663092891
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663092891
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663092892
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663092892
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663092892
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663092892
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663092892
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663092893
error,log,,,"Unhandled event loop exception",1362663092910
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663093074
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093074
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093075
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663093075
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093075
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093076
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663093076
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093076
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093076
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663093077
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093077
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093077
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663093078
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093078
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093078
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663093078
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663093078
