what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663097945
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663097945
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663097945
error,log,,,"Unhandled event loop exception",1362663097960
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1362663098037
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663098129
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098129
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098129
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663098129
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098129
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098129
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663098130
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098130
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098130
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663098130
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098131
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098131
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663098131
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098131
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098131
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663098132
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098132
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098132
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663098132
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098132
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098133
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663098133
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098133
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098133
error,log,,,"Unhandled event loop exception",1362663098148
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1362663098474
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663098536
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098536
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663098536
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663098537
