what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090185
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090185
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090185
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090186
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090186
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090186
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090186
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090187
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090187
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090187
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090188
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090188
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090188
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090188
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090188
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090189
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090189
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090189
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090189
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090190
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090190
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090190
error,log,,,"Unhandled event loop exception",1362663090205
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$1.doRemove: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1362663090208
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$1.doRemove: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1362663090208
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090285
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090285
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090285
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090285
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090285
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090286
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090286
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090286
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090286
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090287
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090287
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090287
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090288
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090288
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090288
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090288
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090288
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090289
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090289
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090289
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090289
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090290
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090290
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090290
error,log,,,"Unhandled event loop exception",1362663090305
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090378
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090378
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090378
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090378
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090379
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090379
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090379
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090379
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090380
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090380
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090380
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090380
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090381
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090381
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090381
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090381
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090382
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090382
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090382
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090382
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663090382
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663090383
