what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663101100
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663101100
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663101101
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663101101
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663101101
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663101102
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663101102
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663101102
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1362663101103
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663101103
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1362663101103
error,log,,,"Unhandled event loop exception",1362663101115
error,log,,,"Unhandled event loop exception",1362663101143
error,log,,,"Unhandled event loop exception",1362663101258
error,log,,,"Unhandled event loop exception",1362663101374
error,log,,,"Unhandled event loop exception",1362663101526
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1362663101630
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1362663101630
error,log,,,"Unhandled event loop exception",1362663101670
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1362663101673
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1362663101674
error,log,,,"Unhandled event loop exception",1362663101753
error,log,,,"Unhandled event loop exception",1362663102112
error,log,,,"Unhandled event loop exception",1362663102185
error,log,,,"Unhandled event loop exception",1362663102433
